Start,End,sacdur,delay,PeakVel,sacLen,Ampl,subject_id,trial,nth,fixation_duration,sticky,blinkSac,blinkFix,first_t,forced_fix,mask_shown,forced_end,VT,image_name,x,y
3202.0,3234.0,32.0,8.0,467.483338645224,8.98904875154256,9.03503613311826,2,156,10,618.0,0,False,False,6438368,0,0,166,val,0475.jpg,864.4990908491754,734.500481844095
3852.0,3871.0,19.0,5.0,235.804947165205,2.52623625772697,2.63706777744952,2,156,11,316.0,0,False,False,6438368,0,0,166,val,0475.jpg,776.2413402871907,606.7841903614908
4187.0,4219.0,32.0,1.0,387.155797535151,7.33580122083106,7.4113641295184,2,156,12,453.0,0,False,False,6438368,0,0,166,val,0475.jpg,355.2818657750448,715.8312478354179
4672.0,4692.0,20.0,8.0,215.611120311426,3.10374315610461,3.10617542114724,2,156,13,250.0,0,False,False,6438368,0,0,166,val,0475.jpg,220.96896653892085,881.0386319680815
4942.0,4958.0,16.0,3.0,247.000336136701,2.54465821489651,2.54726471949859,2,156,14,348.0,0,False,False,6438368,0,0,166,val,0475.jpg,77.28259910290353,911.2889827311121
5306.0,5348.0,42.0,17.0,461.574905638988,13.0349803933155,13.0401878257352,2,156,15,252.0,0,False,False,6438368,0,0,166,val,0475.jpg,902.9126621520273,664.520577092623
5600.0,5635.0,35.0,4.0,397.742338036514,7.15223301563046,7.18250072561139,2,156,16,247.0,0,False,False,6438368,0,0,166,val,0475.jpg,1345.1125497915593,802.554202573283
5882.0,5923.0,41.0,2.0,376.904269996199,5.67545883569866,6.47710426395692,2,156,17,267.0,1,False,False,6438368,0,0,166,val,0475.jpg,990.7524480095742,867.8093503747714
6190.0,6211.0,21.0,5.0,293.840421897265,3.35818223689757,3.38623629089793,2,156,18,248.0,0,False,False,6438368,0,0,166,val,0475.jpg,1164.1801470785576,732.5378382437543
6459.0,6471.0,12.0,5.0,232.14741789374,1.86199419508343,1.86546107649698,2,156,19,278.0,0,False,False,6438368,0,0,166,val,0475.jpg,1315.7669900145725,796.0662056827426
6749.0,6777.0,28.0,6.0,379.369485317285,5.73976098363835,5.81032312588253,2,156,20,334.0,0,False,False,6438368,0,0,166,val,0475.jpg,1678.9722869131879,887.1202455744408
7111.0,7157.0,46.0,3.0,435.793179673785,12.8317562504036,12.8481435273899,2,156,21,267.0,0,False,False,6438368,0,0,166,val,0475.jpg,926.8943749314424,683.0826619280668
7424.0,7473.0,49.0,1.0,464.899323223395,10.3616162530362,10.4085496572723,2,156,22,355.0,0,False,False,6438368,0,0,166,val,0475.jpg,378.944063471201,369.76039369864145
7828.0,7864.0,36.0,1.0,382.522170045514,3.75708532247906,4.62058872457146,2,156,23,254.0,1,False,False,6438368,0,0,166,val,0475.jpg,424.27625671631915,91.33652811383381
8118.0,8170.0,52.0,5.0,463.188896446201,13.3502167331751,13.3759883106261,2,156,24,,0,False,,6438368,0,0,166,val,0475.jpg,,
,,,,,,,2,159,1,352.0,0,False,False,6478244,1,0,175,val,0222.jpg,953.8798342740329,578.2220361675427
353.0,378.0,25.0,8.0,213.85251771209,3.3935256311668,3.48375129503312,2,159,2,247.0,0,False,False,6478244,0,0,175,val,0222.jpg,1069.5600565112986,384.49105169556685
625.0,649.0,24.0,8.0,339.2739816363,4.35187481507773,4.36047701304147,2,159,3,194.0,0,False,False,6478244,0,0,175,val,0222.jpg,974.9535647970351,130.7890064223204
843.0,878.0,35.0,4.0,431.273547541819,9.17246012657897,9.21398167298121,2,159,4,418.0,0,False,False,6478244,0,0,175,val,0222.jpg,426.10018231600833,232.73669749459128
1296.0,1304.0,8.0,4.0,205.408462298493,1.11898796090386,1.13095282190586,2,159,5,252.0,0,False,False,6478244,0,0,175,val,0222.jpg,353.1893899205959,216.33362905600399
1556.0,1598.0,42.0,4.0,375.77159705187,10.1062568028212,10.1062568028212,2,159,6,458.0,0,False,False,6478244,0,0,175,val,0222.jpg,676.0952403942548,847.440814331966
2056.0,2072.0,16.0,7.0,226.4622809243,2.22087889030012,2.24017729041116,2,159,7,334.0,0,False,False,6478244,0,0,175,val,0222.jpg,819.7620235991559,863.3069604666135
